code_family,code,proposed_keyword,register_note,status,reviewer,source,proposed_at
friction,waiting_crowding,全是人,review-register 'packed'; not an s2t variant of existing 人多/挤,reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,waiting_crowding,遊客很多,trad 'too many tourists'; distinct from 人多,reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,waiting_crowding,人擠人,trad colloquial 'crammed shoulder-to-shoulder',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,opening_hours_availability,收舖,Cantonese 'shops close (early)',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,opening_hours_availability,沒開門,trad negated 'not open'; many short-street reviews,reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,opening_hours_availability,下午才開,'only opens in afternoon',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,food_amenities_gap,店不多,'few shops / amenities',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,food_amenities_gap,沒幾家開門,'hardly any shops open',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,itinerary_fit_time_cost,不用特意前往,'not worth a special trip',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,itinerary_fit_time_cost,時間太趕,trad 'too rushed to enjoy',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,itinerary_fit_time_cost,走馬看花,idiom 'cursory glance; little to see',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,itinerary_fit_time_cost,空無一人,'deserted / desolate',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,cleanliness_comfort,臭,'stinky'; codebook only has 味道大,reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,staff_communication,態度冰冷,trad 'cold/icy attitude'; vs existing 态度差,reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,price_value,沒標價,'unlabelled / opaque pricing',reviewed,Lynn,chinese_google_reviews,2026-06-27
friction,cleanliness_comfort,被子很薄很冷,accommodation comfort phrase,reviewed,Lynn,chinese_google_reviews,2026-06-27
