text_content,title,city,source_platform,content_language,post_date,post_date_precision,review_rating,poi_id,poi_name,poi_category,detected_language,source_record_id,record_id,title_has_text,body_has_text,text_scope,text_length_chars,snownlp_positive_prob,snownlp_centered_score,sentiment_category,sentiment_norm,sentiment_score,emotional_intensity_score,reviewed_positive_terms_matched,reviewed_negative_terms_matched,reviewed_recommendation_terms_matched,transport_access,wayfinding_signage,language_information_gap,staff_communication,booking_ticketing,waiting_crowding,price_value,cleanliness_comfort,opening_hours_availability,itinerary_fit_time_cost,accessibility_mobility,food_amenities_gap,scenic_nature,temples_spiritual,history_culture,dinosaurs_museums,food_local_cuisine,hot_springs_relaxation,crafts_shopping,fan_pilgrimage_pop_culture,accommodation,seasonal_events,positive_sentiment,negative_sentiment,recommendation_intent,friction_codes,any_friction,topic_codes,any_topic,enjoyment_evidence_codes,any_enjoyment_evidence
氣氛很好且很美的寺院，下雨天來參觀有一種特別幽靜的氛圍，推薦來福井必訪的景點。,,Fukui,google_review,zh,2026-04-13T05:12:49+00:00,exact,5,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,zh-tw,6a91dc85e765,6a91dc85e765,False,True,title_and_body,39,0.998256,0.996513,positive,0.998256,0.996513,0.996513,好|很好|美|推薦,,推薦,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,[],False,['temples_spiritual'],True,"['recommendation_intent', 'positive_sentiment']",True
"對於坐禪有興趣的人可以來體驗，遊客中心有提供三個時段，而且不用先預約。

寺廟參拜費700日圓（現金），全程都在室內或走道。這是間基於使用者（廟方跟修行的和尚）跟古蹟保持維護與開放參觀等方方面面，改建的非常細緻不突兀的典範。

入口跟遊客中心都有收費行李寄放處。

提供多國語言導覽手冊。吉祥閣一開始的介紹影片，有繁體中文，看完會對整個參觀動線有整體的了解。

就算對宗教沒有興趣，來看看他們怎麼對待正在使用中的古蹟，低調但功能一樣的逃生路線、無障礙設施還有滅火器🧯還有電燈等等，都是很值得參觀的。

雨天、無障礙設施友善的地方。到處都有洗手間🚻。

要脫鞋參觀，記得穿襪子。",,Fukui,google_review,zh,2026-03-31T13:20:44+00:00,exact,3,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,zh-tw,2014fcf0dd54,2014fcf0dd54,False,True,title_and_body,288,0.0,-1.0,negative,0.0,-1.0,1.0,值得,,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,"['wayfinding_signage', 'booking_ticketing']",True,"['temples_spiritual', 'crafts_shopping']",True,['positive_sentiment'],True
来了很多次了，每次都是4号辣，汤也好喝，生日当天还有折扣，非常推荐！,,Fukui,google_review,zh,2026-05-19T11:50:50+00:00,exact,5,ChIJ8w9fldvl-F8RxirqCy78VTs,Tojinbo Cliffs,nature_scenic,zh-cn,f0057ccd3dbc,f0057ccd3dbc,False,True,title_and_body,34,0.379469,-0.241062,negative,0.379469,-0.241062,0.241062,好|推荐,,推荐,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,[],False,[],False,"['recommendation_intent', 'positive_sentiment']",True
景色很不錯，可惜時間太趕，吃完飯就沒時間逛一下，室內商販賣的東西價格滿實在的，但有些沒標價的實屬罕見，可以刷卡，希望下次可以再來看看海岸礁石的景色！,,Fukui,google_review,zh,2026-04-30T01:02:08+00:00,exact,4,ChIJ8w9fldvl-F8RxirqCy78VTs,Tojinbo Cliffs,nature_scenic,zh-tw,ed367b5f6dee,ed367b5f6dee,False,True,title_and_body,74,0.00026,-0.99948,negative,0.00026,-0.99948,0.99948,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],False,[],False,[],False
"這裡已經十分老舊，廁所味道很重。停車¥500。
可以略過的景點。",,Fukui,google_review,zh,2026-04-27T06:52:56+00:00,exact,2,ChIJ8w9fldvl-F8RxirqCy78VTs,Tojinbo Cliffs,nature_scenic,zh-tw,92e911867b76,92e911867b76,False,True,title_and_body,32,0.005277,-0.989446,negative,0.005277,-0.989446,0.989446,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"['transport_access', 'cleanliness_comfort']",True,[],False,[],False
"就在福井站步行10分鐘，一個在城市內的遺跡。
但只剩下圍牆，其他的好像是大火燒掉了。
天氣好的話還能看見後面的山。",,Fukui,google_review,zh,2025-12-28T06:36:53+00:00,exact,3,ChIJq58H-fG--F8R9Kkg78bb82M,Fukui Castle,castle_historic,zh-tw,2baa80d9b3b7,2baa80d9b3b7,False,True,title_and_body,57,3.2e-05,-0.999937,negative,3.2e-05,-0.999937,0.999937,好,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,[],False,['history_culture'],True,['positive_sentiment'],True
會看到地震後遺留下的石垣，天守台亦保存得很好。,,Fukui,google_review,zh,2025-11-16T09:02:50+00:00,exact,4,ChIJq58H-fG--F8R9Kkg78bb82M,Fukui Castle,castle_historic,zh-tw,cd1d8c5213e3,cd1d8c5213e3,False,True,title_and_body,23,0.803984,0.607968,positive,0.803984,0.607968,0.607968,好|很好,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,[],False,[],False,['positive_sentiment'],True
"續日本100名城印章，設於福井縣政府廳舍裡面，就算是假期到訪，也可以在門口按鈴，裡面有人上班，會開門讓你進去蓋印。
福井城只剩下很少遺跡，旁邊有很多現代化建築，遠一點的公園内有更多福井城介紹。
這天來到，有義工伯伯在福井城當值，伯伯非常親切，雖然我們不太會日語，他都努力為我們介紹，很熱情，熱心介紹福井城的歷史，他還會一點點普通話，很努力解說，天氣炎熱，太陽很猛烈，真的謝謝他。",,Fukui,google_review,zh,2025-05-21T13:50:15+00:00,exact,4,ChIJq58H-fG--F8R9Kkg78bb82M,Fukui Castle,castle_historic,zh-tw,4abe1cf2a2b1,4abe1cf2a2b1,False,True,title_and_body,189,0.065555,-0.868889,negative,0.065555,-0.868889,0.868889,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,['transport_access'],True,['history_culture'],True,[],False
六樓的風景可謂之絕景，門票漲價為一千日元了,,Fukui,google_review,zh,2025-08-15T02:04:34+00:00,exact,4,ChIJe6rxXfqb-F8RTntGomrpyqM,Katsuyama Castle,castle_historic,zh-tw,f1f4b54cb89d,f1f4b54cb89d,False,True,title_and_body,21,0.001164,-0.997671,negative,0.001164,-0.997671,0.997671,,,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,['booking_ticketing'],True,['scenic_nature'],True,[],False
"7月迄改装中
無料駐車場",,Fukui,google_review,zh,2026-05-22T07:53:15+00:00,exact,3,ChIJeXrpXVzr-F8RyAOcr44yWRM,Maruoka Castle,castle_historic,zh-tw,4ec4e1a41821,4ec4e1a41821,False,True,title_and_body,12,0.120508,-0.758985,negative,0.120508,-0.758985,0.758985,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],False,[],False,[],False
"36.丸岡城 - 續日本百大名城的印章就在 霞ケ城公園管理事務所 (可不用入城)

城的車位不多，可能要到就近的停車場，這城需不大，大約一小時便可遊一圈。",,Fukui,google_review,zh,2026-05-10T14:40:05+00:00,exact,4,ChIJeXrpXVzr-F8RyAOcr44yWRM,Maruoka Castle,castle_historic,zh-tw,4548d37a01ef,4548d37a01ef,False,True,title_and_body,77,0.54062,0.08124,positive,0.54062,0.08124,0.08124,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,['transport_access'],True,['history_culture'],True,[],False
